t,S1 ref T,S1 air 1 T,S1 air 2 T,S1 mix T,S2 ref T,S2 air 1 T,S2 air 2 T,S2 mix T,S1 ref P,S1 mix P,S2 ref P,S2 mix P
-7603.8142210000005,21.84034,21.961309,21.956149,21.855072,21.937486,22.097226,22.073637,22.013578,14.63205,14.547798,14.790834,14.829719
-7602.815007,21.828417,21.951931,21.939127,21.846144,21.928571,22.083443,22.061242,22.012296,14.635291,14.554279,14.800555,14.819998
-7601.8149300000005,21.832235,21.949504,21.940875,21.845117,21.931001,22.079872,22.058827,22.001774,14.645012,14.554279,14.794074,14.83296
-7600.814978,21.839115,21.954996,21.950809,21.85482,21.931405,22.09073,22.06159,22.022762,14.638531,14.576962,14.797315,14.826479
-7599.814608000001,21.829784,21.94289,21.943928,21.836374,21.918605,22.082925,22.051936,21.997936,14.625569,14.564,14.807036,14.83296
-7598.814473,21.828674,21.945019,21.938357,21.836353,21.924434,22.084292,22.05469,21.997751,14.661214,14.564,14.790834,14.826479
-7597.814265,21.828905,21.948951,21.948059,21.835879,21.933917,22.072948,22.05491,22.014403,14.635291,14.573722,14.800555,14.823238
-7596.814061,21.83166,21.931352,21.945655,21.838332,21.921869,22.07147,22.055744,21.994493,14.622329,14.547798,14.794074,14.816757
-7595.813994,21.826803,21.935746,21.940254,21.84357,21.93644,22.085726,22.05705,22.014151,14.62881,14.557519,14.777872,14.839441
-7594.813481,21.8332,21.929653,21.937838,21.834446,21.921327,22.089324,22.050471,22.000427,14.635291,14.544557,14.777872,14.8362
-7593.814024,21.832058,21.932906,21.939135,21.847772,21.927586,22.076514,22.049687,22.006917,14.622329,14.541317,14.771391,14.83296
-7592.813597,21.839586,21.928637,21.948132,21.851449,21.930025,22.085741,22.059608,22.007506,14.664455,14.541317,14.810276,14.839441
-7591.813549,21.827675,21.941475,21.946688,21.846304,21.927367,22.091004,22.054927,22.004385,14.648253,14.544557,14.800555,14.839441
-7590.8135520000005,21.831572,21.943291,21.951824,21.840106,21.923168,22.097526,22.055667,21.996024,14.664455,14.551038,14.823238,14.83296
-7589.813635,21.838526,21.935904,21.950506,21.848966,21.935904,22.087883,22.062444,22.002051,14.641772,14.551038,14.807036,14.842681
-7588.813623,21.82593,21.941581,21.958949,21.848158,21.934179,22.09725,22.05863,22.007728,14.638531,14.541317,14.810276,14.852403
-7587.813630000001,21.841442,21.941595,21.949953,21.852807,21.932343,22.091492,22.060966,22.016068,14.62881,14.557519,14.816757,14.8362
-7586.814081,21.822717,21.942763,21.94364,21.844413,21.925648,22.085875,22.05581,22.004747,14.654734,14.541317,14.826479,14.83296
-7585.813502,21.839477,21.933154,21.93905,21.848611,21.926678,22.083597,22.058621,21.996758,14.62881,14.541317,14.8362,14.826479
-7584.813607,21.831671,21.935988,21.942923,21.851097,21.926968,22.085851,22.053706,22.009074,14.641772,14.547798,14.826479,14.8362
-7583.813535,21.832956,21.932879,21.934192,21.851156,21.917151,22.082441,22.063246,22.005271,14.664455,14.551038,14.83296,14.8362
-7582.8135250000005,21.835445,21.936755,21.94828,21.850441,21.931898,22.08427,22.057675,22.008684,14.651493,14.570481,14.810276,14.845922
-7581.813549,21.828101,21.934963,21.942879,21.85938,21.928024,22.083957,22.055512,22.006661,14.657974,14.551038,14.807036,14.8362
-7580.813632,21.828113,21.928499,21.93606,21.842614,21.926648,22.075982,22.052625,21.993028,14.657974,14.544557,14.8362,14.849162
-7579.813418000001,21.834821,21.940988,21.959025,21.856329,21.93058,22.09432,22.062174,22.010605,14.661214,14.567241,14.803795,14.849162
-7578.813615,21.834997,21.937232,21.953764,21.844822,21.928443,22.086978,22.055295,21.994591,14.664455,14.547798,14.819998,14.829719
-7577.813944,21.835436,21.942297,21.937726,21.846131,21.926107,22.067704,22.048971,22.010294,14.638531,14.531595,14.803795,14.842681
-7576.813227000001,21.82031,21.937118,21.943221,21.840755,21.924165,22.075973,22.051922,22.006734,14.654734,14.534836,14.829719,14.829719
-7575.8135330000005,21.83878,21.925518,21.950701,21.83482,21.934307,22.080678,22.052464,22.011325,14.677417,14.547798,14.816757,14.823238
-7574.813559,21.823132,21.927681,21.939927,21.841161,21.922824,22.079618,22.048166,21.99938,14.641772,14.554279,14.819998,14.839441
-7573.813599,21.819006,21.930263,21.934815,21.846227,21.921474,22.08237,22.050918,21.996874,14.657974,14.557519,14.813517,14.83296
-7572.813648,21.836808,21.939737,21.95015,21.860176,21.932567,22.072264,22.060932,22.012129,14.661214,14.547798,14.823238,14.829719
-7571.813548,21.837871,21.939181,21.947665,21.846587,21.930623,22.085042,22.052203,22.008104,14.645012,14.56076,14.816757,14.852403
-7570.813615,21.831002,21.925836,21.93586,21.842877,21.923755,22.068845,22.053119,21.992447,14.664455,14.541317,14.816757,14.819998
-7569.813601,21.831535,21.932845,21.94163,21.843096,21.918274,22.087796,22.054494,22.00755,14.677417,14.551038,14.803795,14.826479
-7568.813450000001,21.828449,21.948031,21.949123,21.856141,21.934617,22.094825,22.061755,22.01279,14.651493,14.564,14.797315,14.8362
-7567.813612,21.838073,21.932444,21.948604,21.846832,21.933832,22.093151,22.059155,22.009693,14.62881,14.534836,14.810276,14.8362
-7566.8123510000005,21.833031,21.93226,21.945076,21.850012,21.924627,22.075747,22.059096,22.008121,14.641772,14.554279,14.813517,14.823238
-7565.8124720000005,21.832914,21.921272,21.933772,21.852585,21.924741,22.079939,22.060975,22.013092,14.648253,14.56076,14.826479,14.83296
-7564.812528,21.830603,21.924975,21.935575,21.846525,21.922893,22.075961,22.056997,22.002918,14.664455,14.56076,14.807036,14.8362
-7563.812156,21.828662,21.923265,21.940143,21.839064,21.920952,22.076133,22.04815,21.997277,14.657974,14.544557,14.816757,14.829719
-7562.8112980000005,21.82658,21.92234,21.942549,21.835688,21.921415,22.071833,22.048475,22.000746,14.657974,14.567241,14.807036,14.845922
-7561.811946,21.834688,21.919345,21.946194,21.837945,21.92929,22.076634,22.054432,22.005615,14.664455,14.544557,14.83296,14.842681
-7560.811269,21.837847,21.920653,21.953619,21.852773,21.93615,22.081976,22.060931,22.010623,14.657974,14.557519,14.813517,14.842681
-7559.810576,21.826884,21.923801,21.943222,21.843301,21.933746,22.089157,22.050767,22.019321,14.651493,14.544557,14.810276,14.842681
-7558.809362,21.845793,21.932763,21.952855,21.849464,21.93762,22.087919,22.068724,22.014637,14.664455,14.557519,14.826479,14.839441
-7557.809303,21.834983,21.921259,21.946012,21.841696,21.926347,22.085009,22.056563,22.002903,14.651493,14.554279,14.83296,14.849162
-7556.809329000001,21.841088,21.934765,21.957427,21.852418,21.938003,22.091103,22.062195,22.010626,5.860084,14.544557,14.826479,14.8362
-7555.809270000001,21.835446,21.934674,21.941134,21.840981,21.930279,22.087532,22.052611,22.008222,5.675377,5.886008,14.823238,14.839441
-7554.809344,21.833908,21.944701,21.959383,21.851135,21.925273,22.067851,22.0549,22.009923,2.927456,2.917735,14.83296,14.842681
-7553.80929,21.833609,21.953654,21.944893,21.841965,21.926824,22.07649,22.052438,22.004768,2.046048,2.049288,14.823238,14.826479
-7552.809921,21.814527,21.944751,21.942534,21.828502,21.917458,22.07783,22.05031,22.004885,1.653951,1.660432,14.829719,14.845922
-7551.809483,21.841682,21.965658,21.970048,21.843066,21.933046,22.094935,22.071577,22.015614,1.491927,1.466003,14.823238,14.823238
-7550.8092560000005,21.828421,21.962112,21.950318,21.830505,21.9295,22.077751,22.060638,21.997036,1.410915,1.365549,14.807036,14.83296
-7549.809243000001,21.820776,21.958168,21.95639,21.827093,21.919774,22.083129,22.057921,22.005581,1.349346,1.326663,14.816757,14.845922
-7548.809253,21.820152,21.958701,21.960208,21.813794,21.936035,22.083014,22.066363,22.000101,1.323422,1.326663,14.803795,14.83296
-7547.809311,21.826306,21.961154,21.956405,21.805133,21.928311,22.076899,22.062792,22.010417,1.316941,1.287777,14.826479,14.845922
-7546.808252,21.82951,21.962507,21.959019,21.801039,21.937528,22.090614,22.065868,22.009688,1.294258,1.255373,14.83296,14.849162
-7545.809083,21.826052,21.962519,21.9605,21.787254,21.924356,22.081688,22.056943,21.996517,1.274815,1.252132,14.845922,14.845922
-7544.807259,21.81118,21.950193,21.968551,21.775181,21.924057,22.078175,22.065687,21.995525,1.252132,1.222968,14.813517,14.823238
-7543.807938,21.816477,21.955258,21.958398,21.776592,21.932129,22.086755,22.065016,22.008915,1.268334,1.210006,14.845922,14.826479
-7542.807018,21.814225,21.955319,21.961337,21.743676,21.92687,22.087844,22.058705,22.002963,1.271575,1.213246,14.842681,14.8362
-7541.806113000001,21.809344,21.956915,21.965175,21.747515,21.935405,22.089832,22.063699,22.007797,1.245651,1.216487,14.816757,14.8362
-7540.804964,21.796484,21.946831,21.959847,21.735708,21.928791,22.077334,22.060915,22.010203,1.229449,1.219727,14.83296,14.829719
-7539.80507,21.799561,21.947133,21.954966,21.728282,21.926085,22.074767,22.065517,21.99709,1.232689,1.206765,14.819998,14.849162
-7538.804927,21.804931,21.962447,21.962935,21.742267,21.938162,22.100774,22.077185,22.010785,1.219727,1.222968,14.803795,14.8362
-7537.804491,21.800963,21.956168,21.972801,21.734091,21.925637,22.093294,22.084275,22.014682,1.226208,1.177601,14.823238,14.829719
-7536.804003,21.784077,21.95848,21.964314,21.729535,21.928644,22.088045,22.069313,22.000805,1.219727,1.187323,14.800555,14.845922
-7535.803587,21.794164,21.958852,21.971405,21.72668,21.936186,22.094673,22.07224,22.022223,1.210006,1.193804,14.794074,14.839441
-7534.803525,21.791529,21.95668,21.965426,21.719081,21.931006,22.088001,22.069963,22.006174,1.200284,1.174361,14.813517,14.8362
-7533.8024270000005,21.784264,21.949647,21.970678,21.716237,21.930913,22.093715,22.075677,22.012325,1.197044,1.193804,14.807036,14.8362
-7532.802477,21.779213,21.958012,21.960212,21.716179,21.930025,22.086256,22.070993,22.011669,1.206765,1.184082,14.813517,14.839441
-7531.802468,21.769231,21.945949,21.962815,21.705596,21.928834,22.093715,22.073595,21.998682,1.187323,1.17112,14.797315,14.83296
-7530.802078000001,21.775327,21.952276,21.959752,21.70207,21.933542,22.080246,22.071921,22.006628,1.193804,1.16788,14.813517,14.842681
-7529.801894,21.769107,21.950452,21.970473,21.711174,21.934724,22.090272,22.068765,22.011048,1.200284,1.164639,14.83296,14.849162
-7528.801622,21.767441,21.95665,21.971735,21.708272,21.932364,22.091534,22.075114,22.005682,1.200284,1.180842,14.800555,14.849162
-7527.800997,21.767479,21.954837,21.96518,21.701946,21.938416,22.09423,22.07596,22.008957,1.203525,1.17112,14.807036,14.8362
-7526.801017000001,21.758065,21.956527,21.965019,21.706412,21.930391,22.085743,22.078805,21.996539,1.206765,1.16788,14.813517,14.829719
-7525.799986,21.756191,21.951877,21.952219,21.698699,21.919959,22.079882,22.0593,21.990964,1.200284,1.16788,14.813517,14.816757
-7524.798194,21.769344,21.952308,21.971799,21.70047,21.938661,22.100848,22.078647,22.00689,1.193804,1.200284,14.829719,14.849162
-7523.797766000001,21.770281,21.957639,21.978169,21.705686,21.93983,22.103518,22.082242,22.013378,1.206765,1.17112,14.810276,14.855643
-7522.797829,21.758495,21.956957,21.977569,21.708093,21.931515,22.098061,22.076785,22.008764,1.203525,1.161399,14.813517,14.839441
-7521.797995,21.757341,21.954646,21.970551,21.699454,21.925041,22.095669,22.073468,22.002753,1.184082,1.17112,14.842681,14.842681
-7520.797929,21.764419,21.969586,21.975733,21.720368,21.936744,22.108482,22.0879,22.016768,1.193804,1.161399,14.819998,14.839441
-7519.7972500000005,21.77238,21.95303,21.973654,21.711811,21.941003,22.11681,22.073102,22.021258,1.210006,1.164639,14.845922,14.839441
-7518.79765,21.763461,21.955908,21.975806,21.709568,21.924221,22.095142,22.078722,22.013035,1.206765,1.180842,14.849162,14.865365
-7517.7967,21.756292,21.956373,21.965351,21.702581,21.929312,22.090007,22.070813,22.007256,1.203525,1.17112,14.810276,14.839441
-7516.796232000001,21.767282,21.954871,21.962116,21.713456,21.929661,22.097179,22.076597,22.003903,1.184082,1.16788,14.813517,14.842681
-7515.797074,21.766011,21.954526,21.973751,21.708668,21.933941,22.103725,22.07713,22.002864,1.200284,1.161399,14.819998,14.845922
-7514.796191,21.753185,21.958818,21.977451,21.714452,21.942165,22.088461,22.070423,22.007849,1.184082,1.161399,14.810276,14.829719
-7513.795983,21.764614,21.95683,21.974921,21.717011,21.92815,22.088013,22.073675,22.009562,1.17112,1.187323,14.819998,14.845922
